GEONAME,POP,state,county
"Adams County, Colorado",511868,08,001
"Alamosa County, Colorado",16683,08,003
"Arapahoe County, Colorado",651215,08,005
"Archuleta County, Colorado",13765,08,007
"Baca County, Colorado",3585,08,009
"Bent County, Colorado",5882,08,011
"Boulder County, Colorado",326078,08,013
"Broomfield County, Colorado",69267,08,014
"Chaffee County, Colorado",20027,08,015
"Cheyenne County, Colorado",1876,08,017
"Clear Creek County, Colorado",9605,08,019
"Conejos County, Colorado",8200,08,021
"Costilla County, Colorado",3828,08,023
"Crowley County, Colorado",5858,08,025
"Custer County, Colorado",4954,08,027
"Delta County, Colorado",30953,08,029
"Denver County, Colorado",716492,08,031
"Dolores County, Colorado",2074,08,033
"Douglas County, Colorado",342776,08,035
"Eagle County, Colorado",54993,08,037
"Elbert County, Colorado",26282,08,039
"El Paso County, Colorado",713856,08,041
"Fremont County, Colorado",48021,08,043
"Garfield County, Colorado",59770,08,045
"Gilpin County, Colorado",6121,08,047
"Grand County, Colorado",15525,08,049
"Gunnison County, Colorado",17246,08,051
"Hinsdale County, Colorado",811,08,053
"Huerfano County, Colorado",6889,08,055
"Jackson County, Colorado",1399,08,057
"Jefferson County, Colorado",580233,08,059
"Kiowa County, Colorado",1383,08,061
"Kit Carson County, Colorado",7163,08,063
"Lake County, Colorado",7824,08,065
"La Plata County, Colorado",56310,08,067
"Larimer County, Colorado",350518,08,069
"Las Animas County, Colorado",14503,08,071
"Lincoln County, Colorado",5610,08,073
"Logan County, Colorado",21528,08,075
"Mesa County, Colorado",153207,08,077
"Mineral County, Colorado",776,08,079
"Moffat County, Colorado",13188,08,081
"Montezuma County, Colorado",26158,08,083
"Montrose County, Colorado",42214,08,085
"Morgan County, Colorado",28558,08,087
"Otero County, Colorado",18432,08,089
"Ouray County, Colorado",4833,08,091
"Park County, Colorado",18556,08,093
"Phillips County, Colorado",4286,08,095
"Pitkin County, Colorado",17950,08,097
"Prowers County, Colorado",12164,08,099
"Pueblo County, Colorado",167529,08,101
"Rio Blanco County, Colorado",6336,08,103
"Rio Grande County, Colorado",11250,08,105
"Routt County, Colorado",25733,08,107
"Saguache County, Colorado",6843,08,109
"San Juan County, Colorado",762,08,111
"San Miguel County, Colorado",8191,08,113
"Sedgwick County, Colorado",2303,08,115
"Summit County, Colorado",31007,08,117
"Teller County, Colorado",25083,08,119
"Washington County, Colorado",4909,08,121
"Weld County, Colorado",314305,08,123
"Yuma County, Colorado",10020,08,125
